relative_path,platform,selected_s2_channel,decision,detected_filename_channel,candidate_summary,feed_rows,blocking_messages,warning_messages,note
네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,,네이버_연재:m1/n0/d0 || 네이버_연재(광고수익):m1/n0/d0 || 네이버_일반:m1/n0/d0 || 네이버_장르:m1/n0/d0 || 네이버_장르(광고수익):m1/n0/d0,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,노벨피아,노벨피아 (소설),selected_by_best_match,,노벨피아 (소설):m64/n10/d1,74,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 취소금액 처리 정책 확정 후 S2 출력,
로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,로망띠끄,로망띠끄,selected_by_filename,로망띠끄,로망띠끄:m60/n1/d7,61,,,
리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,리디북스,리디북스(소설),selected_by_best_match,,리디북스(소설):m28625/n3640/d203 || 리디북스(이벤트):m19442/n12823/d38,32265,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/취소/앱마켓 산식 확정 전 S2 출력 금지,
모픽\2월\2026년 2월 모픽 정산상세.xlsx,모픽,모픽(mofic),selected_by_best_match,,모픽(mofic):m314/n18/d10,332,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 총/순 매출 기준 확정 후 S2 출력,
무툰\2월\2026년 2월 무툰 정산상세.xlsx,무툰,무툰(소설 서비스),selected_by_best_match,,무툰(소설 서비스):m482/n32/d66,514,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,
문피아\2월\2026년 2월 문피아 정산상세.xlsx,문피아,문피아,selected_by_filename,문피아,문피아:m109/n8/d26 || 문피아(후원금 정산):m67/n50/d3,118,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 취소/IOS/Google 포함 여부 확정 후 S2 출력,
미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx,미소설,,blocked_by_adapter_policy,미소설,,0,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
미소설\2월\2026년 2월 미소설 정산상세.xlsx,미소설,미소설,selected_by_filename,미소설,미소설:m112/n13/d16,125,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 지급액 컬럼 선택 기준 확정 후 S2 출력,
미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,미스터블루,미스터블루(소설),selected_by_best_match,,미스터블루(소설):m961/n94/d205,1055,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 정산기준액 정의 전 S2 출력 금지,
밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx,밀리의서재,밀리의 서재,selected_by_filename,밀리의 서재,밀리의 서재:m1146/n46/d1,1192,,,
부커스\2월\2026년 2월 부커스 정산상세.xlsx,부커스,부커스,selected_by_filename,부커스,부커스:m174/n18/d3,192,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매금액 파생식 확정 전 S2 출력 금지,
북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx,북큐브,북큐브(소설),selected_by_best_match,,북큐브(소설):m178/n1/d10,179,,,
북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx,북큐브,북큐브(소설),selected_by_best_match,,북큐브(소설):m372/n95/d22,467,,,
북팔\2월\2026년 2월 북팔 정산상세.xlsx,북팔,북팔(소설),selected_by_best_match,,북팔(소설):m45/n3/d9 || 예원북스(북팔):m25/n23/d3,48,,,
블라이스\2월\2026년 2월 블라이스 정산상세.xlsx,블라이스,블라이스_일반결제,selected_by_best_match,,블라이스_일반결제:m58/n5/d7 || 블라이스_인앱결제:m41/n22/d6 || 블라이스 셀렉트:m21/n42/d1,63,,,
스낵북\2월\2026년 2월 스낵북 정산상세.xlsx,스낵북,스낵북(알에스),selected_by_best_match,,스낵북(알에스):m6/n1/d1,7,,,
스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,스토린랩,스토린랩(원스토어),selected_by_best_match,,스토린랩(원스토어):m176/n0/d4,176,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 서브어댑터별 amount rule 확정 전 S2 출력 금지,
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx,알라딘 종이책,,blocked_by_adapter_policy,,,0,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx,알라딘 종이책,,blocked_by_adapter_policy,,,0,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx,알라딘 종이책,,blocked_by_adapter_policy,,,0,"S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 어댑터가 데이터 행을 만들지 못했습니다. | 헤더를 찾지 못한 시트가 있습니다: 알라딘 2월 거래내역. 시트명, 헤더 위치, 헤더명이 바뀌었는지 확인하세요.",,"S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 어댑터가 데이터 행을 만들지 못했습니다. | 헤더를 찾지 못한 시트가 있습니다: 알라딘 2월 거래내역. 시트명, 헤더 위치, 헤더명이 바뀌었는지 확인하세요."
알라딘\2월\2026년 2월 알라딘 정산상세.xlsx,알라딘,알라딘(소설)(1068659313),selected_by_best_match,,알라딘(소설)(1068659313):m1726/n45/d49,1771,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/취소 행 처리 정책 확정 후 S2 출력,
에이블리\2월\2026년 2월 에이블리 정산상세.xlsx,에이블리,에이블리(소설),selected_by_best_match,,에이블리(소설):m750/n33/d11,783,,,
에피루스\2월\2026년 2월 에피루스 정산상세.xlsx,에피루스,에피루스 이북클럽(B2C),selected_by_best_match,,에피루스 이북클럽(B2C):m408/n53/d9,461,,,
예스24\2월\2026월 2월 예스24 정산상세.xlsx,예스24,Yes24(서점),selected_by_best_match,,Yes24(서점):m1276/n162/d46 || Yes24(시프트북스):m625/n813/d6,1438,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매가 기준/환불 처리 정책 확정 후 출력,
올툰\2월\2026년 2월 올툰 정산상세.xlsx,올툰,올툰(소설),selected_by_best_match,올툰,올툰(소설):m59/n2/d7 || 올툰:m25/n36/d6,61,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 수수료 제외/순매출 기준 확정 후 S2 출력,
원스토어\2월\2026년 2월 원스토어 정산상세.xlsx,원스토어,원스토어(소설),selected_by_best_match,,원스토어(소설):m17821/n1786/d108,19607,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,
윌라\2월\2026년 2월 윌라 정산상세.xlsx,윌라,윌라(전자책),selected_by_best_match,,윌라(전자책):m811/n72/d9 || 윌라(오디오북):m194/n689/d0,883,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,
조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,,조아라(소설):m8/n0/d5,8,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,
조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,,조아라(소설):m72/n1/d29,73,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,
조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,,조아라(소설):m18/n6/d1,24,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,
조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,,조아라(소설):m103/n8/d21,111,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,
조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,,조아라(소설):m1/n0/d0,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,
카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx,카카오,카카오페이지(소설),selected_by_best_match,,카카오페이지(소설):m1421/n36/d116 || 카카오페이지(창작지원금):m1281/n176/d61 || 카카오페이지(선투자):m491/n966/d38,1457,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,
카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx,카카오,카카오페이지(선투자),selected_by_filename,카카오페이지(선투자),카카오페이지(선투자):m361/n34/d37 || 카카오페이지(창작지원금):m325/n70/d14 || 카카오페이지(소설):m241/n154/d5,395,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지,
큐툰\2월\2026년 2월 큐툰 정산상세.xlsx,큐툰,큐툰(소설 서비스),selected_by_best_match,,큐툰(소설 서비스):m24/n1/d5,25,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,
토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx,토스(구루컴퍼니),토스(소설),selected_by_best_match,,토스(소설):m45/n0/d28 || 구루컴퍼니:m1/n44/d0,45,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 면세/과세 합산 기준 확정 후 출력,
판무림\2월\2026년 2월 판무림 정산상세.xlsx,판무림,판무림,selected_by_filename,판무림,판무림:m2979/n352/d34,3331,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 상단 문맥+반복 판매금액 flatten 전 S2 출력 금지,
피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx,피우리(누온),누온,selected_by_filename,누온,누온:m25/n0/d4,25,,,
피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),selected_by_best_match,,피플앤스토리 (P2P 웹소설 서비스):m4/n0/d2,4,,,
하이북\2월\2026년 2월 하이북 정산상세.xlsx,하이북,웹소설 하이북,selected_by_best_match,,웹소설 하이북:m332/n23/d69,355,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 구매/대여 합산 단위 확정 후 출력,
한아름\2월\2026년 2월 한아름 정산상세.xlsx,한아름,한아름(P000003716),selected_by_best_match,,한아름(P000003716):m8625/n628/d76,9253,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지,
