relative_path,platform,selected_s2_channel,decision,status,parsed_rows,feed_rows,s2_filter_after,s2_matched,s2_no_match,review_rows,missing_guard_candidates,billing_candidates,duplicate_candidate_keys,transfer_exportable,transfer_rows,transfer_blocked_rows,blocking_or_error
모픽\2월\2026년 2월 모픽 정산상세.xlsx,모픽,모픽(mofic),selected_by_best_match,success,332,332,485,314,18,18,0,0,10,N,0,332,S2 전송자료 출력 차단: 총/순 매출 기준 확정 후 S2 출력 | S2 전송자료 차단 행 332개가 있습니다.
무툰\2월\2026년 2월 무툰 정산상세.xlsx,무툰,무툰(소설 서비스),selected_by_best_match,success,514,514,2941,482,32,32,0,0,66,N,0,514,S2 전송자료 출력 차단: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지 | S2 전송자료 차단 행 514개가 있습니다.
문피아\2월\2026년 2월 문피아 정산상세.xlsx,문피아,문피아,selected_by_filename,success,118,118,457,109,8,9,0,0,26,N,0,118,S2 전송자료 출력 차단: 취소/IOS/Google 포함 여부 확정 후 S2 출력 | S2 전송자료 차단 행 118개가 있습니다.
미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx,미소설,,blocked_by_adapter_policy,blocked_by_adapter_policy,125,0,,,,,,,,,,,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
미소설\2월\2026년 2월 미소설 정산상세.xlsx,미소설,미소설,selected_by_filename,success,125,125,697,112,13,13,0,0,16,N,0,125,S2 전송자료 출력 차단: 지급액 컬럼 선택 기준 확정 후 S2 출력 | S2 전송자료 차단 행 125개가 있습니다.
미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,미스터블루,미스터블루(소설),selected_by_best_match,success,1055,1055,9286,961,94,94,0,0,205,N,0,1055,"S2 전송자료 출력 차단: 정산기준액 정의 전 S2 출력 금지 | S2 전송자료 차단 행 1,055개가 있습니다."
밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx,밀리의서재,밀리의 서재,selected_by_filename,success,1192,1192,387,1146,46,46,0,0,1,N,0,1192,"S2 전송자료 차단 행 1,192개가 있습니다."
부커스\2월\2026년 2월 부커스 정산상세.xlsx,부커스,부커스,selected_by_filename,success,192,192,306,174,18,18,0,0,3,N,0,192,S2 전송자료 출력 차단: 판매금액 파생식 확정 전 S2 출력 금지 | S2 전송자료 차단 행 192개가 있습니다.
북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx,북큐브,북큐브(소설),selected_by_best_match,success,179,179,3568,178,1,1,0,0,10,N,107,72,S2 전송자료 차단 행 72개가 있습니다.
북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx,북큐브,북큐브(소설),selected_by_best_match,success,467,467,3568,372,95,95,0,0,22,N,251,216,S2 전송자료 차단 행 216개가 있습니다.
북팔\2월\2026년 2월 북팔 정산상세.xlsx,북팔,북팔(소설),selected_by_best_match,success,48,48,1103,45,3,3,0,0,9,N,0,48,S2 전송자료 차단 행 48개가 있습니다.
블라이스\2월\2026년 2월 블라이스 정산상세.xlsx,블라이스,블라이스_일반결제,selected_by_best_match,success,63,63,925,58,5,5,0,0,7,N,0,63,S2 전송자료 차단 행 63개가 있습니다.
스낵북\2월\2026년 2월 스낵북 정산상세.xlsx,스낵북,스낵북(알에스),selected_by_best_match,success,7,7,449,6,1,1,0,0,1,N,0,7,S2 전송자료 차단 행 7개가 있습니다.
스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,스토린랩,스토린랩(원스토어),selected_by_best_match,success,176,176,2015,176,0,0,0,0,4,N,0,176,S2 전송자료 출력 차단: 서브어댑터별 amount rule 확정 전 S2 출력 금지 | S2 전송자료 차단 행 176개가 있습니다.
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx,알라딘 종이책,,blocked_by_adapter_policy,blocked_by_adapter_policy,8,0,,,,,,,,,,,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx,알라딘 종이책,,blocked_by_adapter_policy,blocked_by_adapter_policy,8,0,,,,,,,,,,,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx,알라딘 종이책,,blocked_by_adapter_policy,blocked_by_adapter_policy,0,0,,,,,,,,,,,"S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 어댑터가 데이터 행을 만들지 못했습니다. | 헤더를 찾지 못한 시트가 있습니다: 알라딘 2월 거래내역. 시트명, 헤더 위치, 헤더명이 바뀌었는지 확인하세요."
알라딘\2월\2026년 2월 알라딘 정산상세.xlsx,알라딘,알라딘(소설)(1068659313),selected_by_best_match,success,1771,1771,1264,1726,45,45,0,0,49,N,0,1771,"S2 전송자료 출력 차단: 판매/취소 행 처리 정책 확정 후 S2 출력 | S2 전송자료 차단 행 1,771개가 있습니다."
에이블리\2월\2026년 2월 에이블리 정산상세.xlsx,에이블리,에이블리(소설),selected_by_best_match,success,783,783,448,750,33,33,0,0,11,N,677,106,S2 전송자료 차단 행 106개가 있습니다.
에피루스\2월\2026년 2월 에피루스 정산상세.xlsx,에피루스,에피루스 이북클럽(B2C),selected_by_best_match,success,461,461,788,408,53,53,0,0,9,N,0,461,S2 전송자료 차단 행 461개가 있습니다.
예스24\2월\2026월 2월 예스24 정산상세.xlsx,예스24,Yes24(서점),selected_by_best_match,success,1438,1438,3863,1276,162,162,0,0,46,N,0,1438,"S2 전송자료 출력 차단: 판매가 기준/환불 처리 정책 확정 후 출력 | S2 전송자료 차단 행 1,438개가 있습니다."
올툰\2월\2026년 2월 올툰 정산상세.xlsx,올툰,올툰(소설),selected_by_best_match,success,61,61,324,59,2,2,0,0,7,N,0,61,S2 전송자료 출력 차단: 수수료 제외/순매출 기준 확정 후 S2 출력 | S2 전송자료 차단 행 61개가 있습니다.
원스토어\2월\2026년 2월 원스토어 정산상세.xlsx,원스토어,원스토어(소설),selected_by_best_match,success,19607,19607,9704,17821,1786,1786,0,0,108,N,0,19607,"S2 전송자료 출력 차단: 판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지 | S2 전송자료 차단 행 19,607개가 있습니다."
윌라\2월\2026년 2월 윌라 정산상세.xlsx,윌라,윌라(전자책),selected_by_best_match,success,883,883,431,811,72,72,0,0,9,N,0,883,S2 전송자료 출력 차단: 공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력 | S2 전송자료 차단 행 883개가 있습니다.
조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,success,8,8,1200,8,0,0,0,0,5,N,0,8,S2 전송자료 출력 차단: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 8개가 있습니다.
조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,success,73,73,1200,72,1,1,0,0,29,N,0,73,S2 전송자료 출력 차단: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 73개가 있습니다.
조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,success,24,24,1200,18,6,6,0,0,1,N,0,24,S2 전송자료 출력 차단: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 24개가 있습니다.
조아라\2월\판무\2026년 2월 조아라 판무 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,success,111,111,1200,103,8,8,0,0,21,N,0,111,S2 전송자료 출력 차단: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 111개가 있습니다.
조아라\2월\판무\2026년 2월 조아라 판무 후원쿠폰 정산상세.xlsx,조아라,조아라(소설),selected_by_best_match,success,1,1,1200,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
카카오\2월\2026년 2월 카카오페이지(일반) 정산상세.xlsx,카카오,카카오페이지(소설),selected_by_best_match,success,1457,1457,1170,1421,36,36,0,0,116,N,0,1457,"S2 전송자료 출력 차단: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지 | S2 전송자료 차단 행 1,457개가 있습니다."
카카오\선투자\26년 2월\2026년 2월 카카오페이지(선투자) 정산상세.xlsx,카카오,카카오페이지(선투자),selected_by_filename,success,395,395,666,361,34,34,0,0,37,N,0,395,S2 전송자료 출력 차단: 과/면세 및 공급가액/공급대가 기준 확정 전 출력 금지 | S2 전송자료 차단 행 395개가 있습니다.
큐툰\2월\2026년 2월 큐툰 정산상세.xlsx,큐툰,큐툰(소설 서비스),selected_by_best_match,success,25,25,401,24,1,1,0,0,5,N,0,25,S2 전송자료 출력 차단: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지 | S2 전송자료 차단 행 25개가 있습니다.
토스(구루컴퍼니)\2월\2026년 2월 토스 정산상세.xlsx,토스(구루컴퍼니),토스(소설),selected_by_best_match,success,45,45,580,45,0,0,0,0,28,N,0,45,S2 전송자료 출력 차단: 면세/과세 합산 기준 확정 후 출력 | S2 전송자료 차단 행 45개가 있습니다.
판무림\2월\2026년 2월 판무림 정산상세.xlsx,판무림,판무림,selected_by_filename,success,3331,3331,8976,2979,352,352,0,0,34,N,0,3331,"S2 전송자료 출력 차단: 상단 문맥+반복 판매금액 flatten 전 S2 출력 금지 | S2 전송자료 차단 행 3,331개가 있습니다."
피우리(누온)\2월\2026년 2월 누온(피우리) 정산상세.xlsx,피우리(누온),누온,selected_by_filename,success,25,25,2376,25,0,0,0,0,4,N,0,25,S2 전송자료 차단 행 25개가 있습니다.
피플앤스토리\2월\2026년 2월 피플앤스토리 정산상세.xlsx,피플앤스토리,피플앤스토리 (P2P 웹소설 서비스),selected_by_best_match,success,4,4,1725,4,0,0,0,0,2,N,0,4,S2 전송자료 차단 행 4개가 있습니다.
하이북\2월\2026년 2월 하이북 정산상세.xlsx,하이북,웹소설 하이북,selected_by_best_match,success,355,355,3429,332,23,23,0,0,69,N,0,355,S2 전송자료 출력 차단: 구매/대여 합산 단위 확정 후 출력 | S2 전송자료 차단 행 355개가 있습니다.
한아름\2월\2026년 2월 한아름 정산상세.xlsx,한아름,한아름(P000003716),selected_by_best_match,success,9253,9253,7112,8625,628,628,0,0,76,N,0,9253,"S2 전송자료 출력 차단: 구간 파서 + 시간/건당 과금 정책 확정 전 S2 출력 금지 | S2 전송자료 차단 행 9,253개가 있습니다."
