relative_path,folder_platform,adapter_platform,status,file_status,sheet_statuses,parsed_rows,default_feed_rows,title_present_rows,amount_rule_status,s2_amount_policy_locked,s2_gate,blocking_messages,warning_messages,columns,feed_columns,error
모픽\2월\2026년 2월 모픽 정산상세.xlsx,모픽,모픽,schema_pass,include,작품별정산:parsed:332,332,332,332,needs_policy,False,총/순 매출 기준 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 총/순 매출 기준 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
무툰\2월\2026년 2월 무툰 정산상세.xlsx,무툰,무툰,schema_pass,include,Sheet:parsed:514,514,514,514,needs_coin_policy,False,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
문피아\2월\2026년 2월 문피아 정산상세.xlsx,문피아,문피아,schema_pass,include,다우인큐브:parsed:118,118,118,118,needs_cancel_policy,False,취소/IOS/Google 포함 여부 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 취소/IOS/Google 포함 여부 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx,미소설,미소설,schema_pass_blocked,review_gate_not_default,cpexcel20260303100057:parsed:125,125,0,125,needs_policy,False,지급액 컬럼 선택 기준 확정 후 S2 출력,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명,
미소설\2월\2026년 2월 미소설 정산상세.xlsx,미소설,미소설,schema_pass,include,cpexcel20260303100057:parsed:125,125,125,125,needs_policy,False,지급액 컬럼 선택 기준 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 지급액 컬럼 선택 기준 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
미스터블루\2월\2026년 2월 미스터블루 정산상세.xlsx,미스터블루,미스터블루,schema_pass,include,작품별:parsed:1055 | 볼륨별:excluded_sheet:0,1055,1055,1055,blocked_until_settlement_basis,False,정산기준액 정의 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 정산기준액 정의 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
밀리의서재\2월\2026년 2월 밀리의서재 정산상세.xlsx,밀리의서재,밀리의서재,schema_pass,include,list:parsed:1192,1192,1192,1192,candidate_confirmed_after_reconcile,True,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
부커스\2월\2026년 2월 부커스 정산상세.xlsx,부커스,부커스,schema_pass,include,CP 콘텐츠별 정산:parsed:192,192,192,192,needs_derived_sale_policy,False,판매금액 파생식 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매금액 파생식 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
북큐브\2월\2026년 2월 북큐브(로맨스) 정산상세.xlsx,북큐브,북큐브,schema_pass,include,Sheet1:parsed:179,179,179,179,candidate_confirmed_after_reconcile,True,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
북큐브\2월\2026년 북큐브(판무) 정산상세.xlsx,북큐브,북큐브,schema_pass,include,Sheet1:parsed:467,467,467,467,candidate_confirmed_after_reconcile,True,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
북팔\2월\2026년 2월 북팔 정산상세.xlsx,북팔,북팔,schema_pass,include,2026-02-01 ~ 2026-02-28:parsed:48,48,48,48,candidate_confirmed_after_reconcile,True,보조 안내문 시트 제외 + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
블라이스\2월\2026년 2월 블라이스 정산상세.xlsx,블라이스,블라이스,schema_pass,include,CP정산20260305_095913:parsed:63,63,63,63,candidate_confirmed_after_reconcile,True,수수료 컬럼명 정규화 + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
스낵북\2월\2026년 2월 스낵북 정산상세.xlsx,스낵북,스낵북,schema_pass,include,settle_list_202602_C262666768_2:parsed:7,7,7,7,candidate_confirmed_after_reconcile,True,대표월 fixture + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
스토린랩\2월\2026년 2월 스토린랩 정산상세.xlsx,스토린랩,스토린랩,schema_pass,include,정리:excluded_sheet:0 | 원스:parsed:151 | 원스(북패스):parsed:25,176,176,176,needs_subadapter_policy,False,서브어댑터별 amount rule 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 서브어댑터별 amount rule 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세.xlsx,알라딘 종이책,알라딘 종이책,schema_pass_blocked,blocked_non_s2_source,거래처별 거래원장:parsed:8,8,0,8,blocked_non_content_ledger,False,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명,
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(날개물류 2월 거래내역).xlsx,알라딘 종이책,알라딘 종이책,schema_pass_blocked,blocked_non_s2_source,거래처별 거래원장:parsed:8,8,0,8,blocked_non_content_ledger,False,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명,
알라딘 종이책\2월\2026년 2월 알라딘 종이책 정산상세(알라딘 2월 거래내역).xlsx,알라딘 종이책,알라딘 종이책,schema_pass_blocked,blocked_non_s2_source,알라딘 2월 거래내역:header_not_found:0,0,0,0,blocked_non_content_ledger,False,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,"S2 매핑 입력 차단 대상입니다: 전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지 | 어댑터가 데이터 행을 만들지 못했습니다. | 헤더를 찾지 못한 시트가 있습니다: 알라딘 2월 거래내역. 시트명, 헤더 위치, 헤더명이 바뀌었는지 확인하세요.",,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명,
알라딘\2월\2026년 2월 알라딘 정산상세.xlsx,알라딘,알라딘,schema_pass,include,sales_18156_202602:parsed:1771,1771,1771,1771,needs_cancel_policy,False,판매/취소 행 처리 정책 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/취소 행 처리 정책 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
에이블리\2월\2026년 2월 에이블리 정산상세.xlsx,에이블리,에이블리,schema_pass,include,202602_에이블리_키다리스튜디오(소설):parsed:783,783,783,783,candidate_confirmed_after_reconcile,True,요약 시트 제외 + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
에피루스\2월\2026년 2월 에피루스 정산상세.xlsx,에피루스,에피루스,schema_pass,include,2026년02월정산내역_키다리스튜디오:parsed:461,461,461,461,candidate_confirmed_after_reconcile,True,대표월 fixture + 수수료 상계 정책 확인 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
예스24\2월\2026월 2월 예스24 정산상세.xlsx,예스24,예스24,schema_pass,include,Sheet1:parsed:1438,1438,1438,1438,needs_policy,False,판매가 기준/환불 처리 정책 확정 후 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매가 기준/환불 처리 정책 확정 후 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
올툰\2월\2026년 2월 올툰 정산상세.xlsx,올툰,올툰,schema_pass,include,시트1:parsed:61,61,61,61,needs_fee_policy,False,수수료 제외/순매출 기준 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 수수료 제외/순매출 기준 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
원스토어\2월\2026년 2월 원스토어 정산상세.xlsx,원스토어,원스토어,schema_pass,include,multimedia:parsed:19607,19607,19607,19607,needs_policy,False,판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/정액제/취소/수수료 산식 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
윌라\2월\2026년 2월 윌라 정산상세.xlsx,윌라,윌라,schema_pass,include,sheet:parsed:883 | 콘텐츠 가격 변동 이력:excluded_sheet:0,883,883,883,needs_policy,False,공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 공급가/정가 판매금액 기준 확정 + 가격변동이력 제외 후 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
조아라\2월\로맨스\2026년 2월 조아라 로맨스 단행본 정산상세.xlsx,조아라,조아라,schema_pass,include,작품별 정산리스트_2026-2:parsed:8,8,8,8,needs_derived_sale_policy,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
조아라\2월\로맨스\2026년 2월 조아라 로맨스 정산상세.xlsx,조아라,조아라,schema_pass,include,작품별 정산리스트_2026-2:parsed:73,73,73,73,needs_derived_sale_policy,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
조아라\2월\판무\2026년 2월 조아라 판무 단행본 정산상세.xlsx,조아라,조아라,schema_pass,include,작품별 정산리스트_2026-2:parsed:24,24,24,24,needs_derived_sale_policy,False,단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 단가 없는 그룹의 판매금액 정책 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
