판단유형,판매채널,정제키,행수,원문예시,파일예시,필요한판단
S2 신규/진짜없음 판단,구글(소설),망한세상에서나혼자각성,7,망한 세상에서 나 혼자 각성 1권 | 망한 세상에서 나 혼자 각성 2권 | 망한 세상에서 나 혼자 각성 3권 | 망한 세상에서 나 혼자 각성 4권 | 망한 세상에서 나 혼자 각성 5권 | 망한 세상에서 나 혼자 각성 6권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),무유지,7,무유지,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),악작현대au,6,악작. 현대AU 외전 | 악작. 현대AU 특별외전,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),보수적이라며팬티는왜벗어,6,보수적이라며 팬티는 왜 벗어? 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,밀리의 서재,망한세상에서나혼자각성,6,망한 세상에서 나 혼자 각성,2026-02__밀리의 서재__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),독검,6,독검,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),함부로동정하지말것,6,함부로 동정하지 말 것 [19세 완전판] | 함부로 동정하지 말 것,2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),용쟁혈투,5,용쟁혈투 1 | 용쟁혈투 2 | 용쟁혈투 3 | 용쟁혈투 4 | 용쟁혈투 5,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),스피크오브더데블,5,[e북]스피크 오브 더 데블(Speak Of The Devil) 5권 (완결) | [e북]스피크 오브 더 데블(Speak Of The Devil) 4권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 1권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 2권 | [e북]스피크 오브 더 데블(Speak Of The Devil) 3권,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),중원지,4,중원지 1 | 중원지 2 | 중원지 3 | 중원지 4,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),망한세상에서나혼자각성,4,망한 세상에서 나 혼자 각성 1화 | 망한 세상에서 나 혼자 각성 2화 | 망한 세상에서 나 혼자 각성 3화 | 망한 세상에서 나 혼자 각성 4화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,윌라(전자책),보수적이라며팬티는왜벗어,4,보수적이라며 팬티는 왜 벗어? 1 | 보수적이라며 팬티는 왜 벗어? 2 | 보수적이라며 팬티는 왜 벗어? 3 | 보수적이라며 팬티는 왜 벗어? 4,2026-02__윌라(전자책)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(선투자),월드스타가될운명입니다,4,월드스타가 될 운명입니다,2026-02__카카오페이지(선투자)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),아이돌공략법으로데뷔합니다,4,아이돌 공략법으로 데뷔합니다,2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,검웅영제,4,검웅영제(무삭제 개정판),2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,천의역근참수기,4,천의역근참수기,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),검,4,검(劍),2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),금검지,4,금검지,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),검,3,검(劍) 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),독식하는재벌세,3,[10%할인] 독식하는 재벌 3세 2권 | 독식하는 재벌 3세 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(선투자),rpg시티,3,RPG시티[완결],2026-02__카카오페이지(선투자)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(소설),사립루레인학원시리즈,3,사립루레인학원 시리즈,2026-02__카카오페이지(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,독식하는재벌세,3,독식하는 재벌 3세,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,팔왕예조,3,팔왕예조,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),교시연애영역,2,[BL] 9교시 연애영역 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),내가키운용사가나에게집착한다,2,내가 키운 용사가 나에게 집착한다 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),집사와수상한계약을,2,[19금] 집사와 수상한 계약을 1권,2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,구글(소설),혈무연,2,[10%할인] 혈무연 1 | [10%할인] 혈무연 3 (완결),2026-02__구글(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,무툰(소설 서비스),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],2026-02__무툰(소설 서비스)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,미스터블루(소설),독식하는재벌세,2,독식하는 재벌 3세 | 독식하는 재벌 3세 [단행본],2026-02__미스터블루(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
