platform,schema_group_no,final_group_action,final_group_gate,group_note,adapter_contract,source_sheet_rule,exclude_rule,header_rule,normalized_title_from,raw_author_from,external_work_id_from,gross_sales_amount_from,settlement_base_amount_from,offset_amount_from,amount_rule_status,s2_projection_status,catalog_status,catalog_sheet_count,catalog_file_count,top_sheet_names,header_preview_sanitized,representative_example
모픽,1,include_after_amount_policy,총/순 매출 기준 확정 후 S2 출력,,single_header_variants,작품별정산,,row 1,작품명,작가명,없음,총 매출액 또는 순 매출액,정산액,총 매출액-순 매출액 후보,needs_policy,blocked_until_gate,adapter_candidate,5,5,작품별정산(5),작품명 | 출판사 | 제공사 | 작가명 | 유형 | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액,모픽\1월\2026년 1월 모픽 정산상세.xlsx
모픽,2,include_after_amount_policy,총/순 매출 기준 확정 후 S2 출력,,single_header_variants,작품별정산,,row 1,작품명,작가명,없음,총 매출액 또는 순 매출액,정산액,총 매출액-순 매출액 후보,needs_policy,blocked_until_gate,adapter_candidate,1,1,작품별정산(1),작품명 | 작가명 | 유형 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액,모픽\25년\10월\2025년 10월 모픽 정산상세.xlsx
모픽,3,include_after_amount_policy,총/순 매출 기준 확정 후 S2 출력,,single_header_variants,작품별정산,,row 1,작품명,작가명,없음,총 매출액 또는 순 매출액,정산액,총 매출액-순 매출액 후보,needs_policy,blocked_until_gate,adapter_candidate,1,1,작품별정산(1),작품명 | 작가명 | CP | 정산 기간 | 매출구분 | 총 매출액 | 순 매출액 | 정산액,모픽\25년\9월\25년 9월 모픽 정산상세.xlsx
모픽,4,include_after_amount_policy,총/순 매출 기준 확정 후 S2 출력,,single_header_variants,작품별정산,,row 1,작품명,작가명,없음,총 매출액 또는 순 매출액,정산액,총 매출액-순 매출액 후보,needs_policy,blocked_until_gate,adapter_candidate,1,1,작품별정산(1),작품명 | 출판사 | 총 매출액 | 정산액,모픽\2월\2026년 2월 모픽 정산상세.xlsx
무툰,1,include_after_amount_policy,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,,merged_header_coin_table,Sheet,,row 2,타이틀,작가,없음,합계 / 사용코인 후보,정산총액 또는 정산금액,공제수수료 / 취소코인,needs_coin_policy,blocked_until_gate,adapter_candidate,7,7,Sheet(7),NO | 구분 | 작가 | 장르 | 타이틀 | 사용코인 | 취소코인 | 합계 | 공제수수료 | 정산총액,무툰\1월\2026년 1월 무툰 정산상세.xlsx
무툰,2,include_after_amount_policy,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,,merged_header_coin_table,Sheet,,row 1,타이틀,작가,없음,합계 / 사용코인 후보,정산총액 또는 정산금액,공제수수료 / 취소코인,needs_coin_policy,blocked_until_gate,adapter_candidate,1,1,Sheet(1),작가 | 장르 | 타이틀 | 정산금액,무툰\25년\12월\2025년 12월 무툰 정산상세.xlsx
문피아,1,include_after_amount_policy,취소/IOS/Google 포함 여부 확정 후 S2 출력,,single_header_limited_columns,다우인큐브,,row 1,작품,작가,작품코드,총매출,정산,구매취소 / 대여취소,needs_cancel_policy,blocked_until_gate,adapter_candidate,8,8,다우인큐브(8),CP | 번호 | 날짜 | 구분 | 작가 | 계정 | 작품코드 | 작품 | 구매 | 구매취소 | 대여 | 대여취소 | 총매출 | IOS매출 | Google매출 | 정산,문피아\1월\2026년 1월 문피아 정산상세.xlsx
미소설,1,include_after_amount_policy,지급액 컬럼 선택 기준 확정 후 S2 출력,,single_header_variants,cpexcel*,확장체크/사람가공 파일은 fixture 제외,row 1,타이틀,작가명,작품번호,전체매출(원),총지급액(원) 또는 지급액(원) ASP,결제수수료(원),needs_policy,blocked_until_gate,adapter_candidate,5,5,cpexcel20260303100057(2) | cpexcel20260202130320(1) | cpexcel20260401093554(1) | cpexcel20260504104935(1),타이틀 | 작품번호 | 작가명 | 날짜 | 종류 | 전체 판매 건수 | 판매 코인 | 수익률 | 전체매출(원) | 결제수수료(원) | 지급액(원) 미소설 | 지급액(원) ASP | 총지급액(원),미소설\1월\2026년 1월 미소설 정산상세.xlsx
미소설,2,include_after_amount_policy,지급액 컬럼 선택 기준 확정 후 S2 출력,,single_header_variants,cpexcel*,확장체크/사람가공 파일은 fixture 제외,row 1,타이틀,작가명,작품번호,전체매출(원),총지급액(원) 또는 지급액(원) ASP,결제수수료(원),needs_policy,blocked_until_gate,adapter_candidate,4,4,cpexcel20251103090930(1) | cpexcel20251201091341(1) | cpexcel20260102093612(1) | 2025년 8월 에피루스 정산상세(1),타이틀 | 날짜 | 종류 | 전체 판매 건수 | 판매 코인 | 수익률 | 전체매출(원) | 결제수수료(원) | 지급액(원) 미소설 | 지급액(원) ASP | 총지급액(원),미소설\25년\10월\2025년 10월 미소설 정산상세.xlsx
미스터블루,1,include_after_amount_policy,정산기준액 정의 전 S2 출력 금지,,sheet_whitelist_workbook,"작품별 우선, 볼륨별은 검산/보조 후보",정산기준 없는 보조 시트는 출력 제외,row 2,작품명,작가명,작품코드,작품별 합계(정액+종량) / 볼륨별 소계 후보,정산기준액 후보 없음. 정책 필요,없음 확인 필요,blocked_until_settlement_basis,blocked_until_gate,adapter_candidate,4,4,작품별(4),기간 | 제공사 | 계정ID | 콘텐츠 | 출판사 | 작품코드 | 작품명 | 작가명 | 정액 | 종량,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx
미스터블루,2,include_for_detail_or_reconcile_only,s2_blocked_until_settlement_basis,볼륨별 보조/상세 후보,sheet_whitelist_workbook,"작품별 우선, 볼륨별은 검산/보조 후보",정산기준 없는 보조 시트는 출력 제외,row 2,작품명,작가명,작품코드,작품별 합계(정액+종량) / 볼륨별 소계 후보,정산기준액 후보 없음. 정책 필요,없음 확인 필요,blocked_until_settlement_basis,blocked_until_gate,manual_review,4,4,볼륨별(4),기간 | 제공사 | 계정ID | 콘텐츠 | 출판사 | 작품코드 | 작품명 | 작가명 | 볼륨No. | 볼륨명 | 가격 | 판매단위 | 전권 할인 | 판매 형태 | 블루머니 | A.앱머니 | i.앱머니 | 소계,미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx
밀리의서재,1,include_candidate_after_rescan,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_variants,list,,row 1,콘텐츠명,저자명,전자출판물 ISBN / 유통사 상품코드,발생 금액,정산 예정 금액 / 정산 금액,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,5,5,list(5),기간 시작일 | 기간 종료일 | 레이블명 | 전자출판물 ISBN | 콘텐츠명 | 에피소드명 | 저자명 | 콘텐츠 분류 | 발생 대여 수 | 발생 Copy 수 | 매절 계약 종료일 | 발생 금액 | 정산 예정 금액 | 유통사 상품코드,밀리의서재\1월\2026년 1월 밀리의서재 정산상세.xlsx
밀리의서재,2,include_candidate_after_rescan,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_variants,list,,row 1,콘텐츠명,저자명,전자출판물 ISBN / 유통사 상품코드,발생 금액,정산 예정 금액 / 정산 금액,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,3,3,list(3),발생 월 | 정산 월 | 레이블명 | 전자출판물 ISBN | 콘텐츠명 | 콘텐츠명 | 저자명 | 콘텐츠 분류 | 발생 대여 수 | 발생 Copy 수 | 발생 금액 | 정산 금액 | 유통사 상품코드,밀리의서재\25년\10월\2025년 밀리의서재 10월 정산상세.xlsx
보인&국립장애인도서관,1,blocked_non_s2_source,blocked,S2 판매상세 단위 아님,purchase_selection_list,없음,목록선정*,row 11,제목,저자명,없음,판매가 / 구매비,정산기준액 없음,없음,blocked_non_sales,blocked_until_gate,manual_review,2,1,목록선정_1차 구매(1) | 목록선정_0313(1),번호 | 카테고리 | 제목 | 저자명 | 출간일 | 판매가 | 구매비 | 출판사명 | 서비스연령 | 선정여부 | 비고,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx
보인&국립장애인도서관,2,blocked_non_s2_source,blocked,S2 판매상세 단위 아님,purchase_selection_list,없음,목록선정*,row 3,제목,저자명,없음,판매가 / 구매비,정산기준액 없음,없음,blocked_non_sales,blocked_until_gate,manual_review,1,1,목록선정(1),번호 | 카테고리 | 제목 | 저자명 | 출간일 | 판매가 | 출판사명 | 서비스연령 | 선정여부 | 비고,보인&국립장애인도서관\2026년 3월 국립장애인도서관 정산상세.xlsx
부커스,1,include_after_amount_policy,판매금액 파생식 확정 전 S2 출력 금지,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_with_duplicate_file_filter,CP 콘텐츠별 정산,- 복사본 파일 제외,row 1,콘텐츠 제목,저자명,ISBN,정가 x 열람 횟수 후보,정산 금액(원),정산율 기반 파생 후보,needs_derived_sale_policy,blocked_until_gate,manual_review,8,8,CP 콘텐츠별 정산(8),순번 | 콘텐츠 제목 | 출판사명 | 저자명 | ISBN | 도서타입 | 정가 | 정산율(%) | 정산 금액(원) | 열람 횟수,부커스\1월\2026년 1월 부커스 정산상세.xlsx
북큐브,1,include_candidate_after_rescan,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_row2,Sheet1,,row 2,제목,저자,도서번호 / ISBN / e-ISBN(PDF) / e-ISBN(ePub) / 제휴도서번호,판매액,정산액 / 정산대상금액,할인 / 수수료,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,6,6,Sheet1(6),제목 | 저자 | 출판권자 | 판매유형 | 판매처 | 부수 | 정가 | 판매액 | 할인 | 수수료 | 정산대상금액 | 정산액 | 정산월 | 도서번호 | ISBN | e-ISBN(PDF) | e-ISBN(ePub) | 서비스파일 | 제휴도서번호,북큐브\10월\2025년 10월 북큐브(로맨스) 정산상세.xlsx
북팔,1,include_candidate,보조 안내문 시트 제외 + 총액 reconcile 후 출력,,sheet_whitelist_plus_legacy_exclusion,"마켓, 날짜범위 시트",Sheet 안내문/전자계산서 본문 시트 제외,row 9,작품명,필명 / 닉네임,아이디 / 순서 후보,매출,수익금 / 수익,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,adapter_candidate,3,3,마켓(3),순번 | 필명 | 아이디 | 작품명 | 판매수 | 매출 | 배분율 | 수익금 | 비고,북팔\10월\2025년 10월 북팔 정산상세.xlsx
북팔,2,exclude_aux_or_summary,exclude,정산 안내문/전자계산서 본문,sheet_whitelist_plus_legacy_exclusion,"마켓, 날짜범위 시트",Sheet 안내문/전자계산서 본문 시트 제외,row 1,작품명,필명 / 닉네임,아이디 / 순서 후보,매출,수익금 / 수익,없음 확인 필요,candidate_confirmed_after_reconcile,blocked_until_gate,manual_review,3,3,Sheet(3),[REDACTED_EXCLUDED_LETTER_OR_SUMMARY_SHEET],북팔\10월\2025년 10월 북팔 정산상세.xlsx
북팔,3,include_candidate,보조 안내문 시트 제외 + 총액 reconcile 후 출력,,sheet_whitelist_plus_legacy_exclusion,"마켓, 날짜범위 시트",Sheet 안내문/전자계산서 본문 시트 제외,row 1,작품명,필명 / 닉네임,아이디 / 순서 후보,매출,수익금 / 수익,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,adapter_candidate,1,1,2025-11-01 ~ 2025-11-30(1),날짜 | 구분 | 순서 | 아이디 | 닉네임 | 작품명 | 수익 | 카운트,북팔\11월\2025년 11월 북팔 정산상세.xlsx
블라이스,1,include_candidate,수수료 컬럼명 정규화 + 총액 reconcile 후 출력,,single_header_with_merged_cells,CP정산*,,row 1,작품명,작가명,작품NO,판매액,정산금액,수수료,candidate_confirmed_after_reconcile,allowed_after_gate,adapter_candidate,8,8,CP정산20260204_033510(1) | CP정산20251103_110647(1) | CP정산20251202_110152(1) | CP정산20260108_032753(1) | CP정산20251014_054458(1) | CP정산20260305_095913(1) | CP정산20260403_112716(1) | CP정산20260506_085425(1),판매월 | 정산월 | 작품명 | 구분 | 등록유형 | 작품NO | 작가명 | 판매액 | 수수료(결제 대행 수수료 + 블라이스 운영 수수료) | 정산금액,블라이스\1월\2026년 1월 블라이스 정산상세.xlsx
스낵북,1,include_candidate,대표월 fixture + 총액 reconcile 후 출력,,single_header,settle_list_*,,row 1,작품명,필자명,작품ID,판매(원),정산(원),없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,adapter_candidate,6,6,settle_list_202601_C262666768_2(1) | settle_list_202510_C262666768_2(1) | settle_list_202511_C262666768_2(1) | settle_list_202512_C262666768_2(1) | settle_list_202602_C262666768_2(1) | settle_list_202603_C262666768_2(1),작품ID | 작품명 | 필자명 | 정산비율 | 판매(원) | 정산(원) | 코인타입,스낵북\1월\2026년 1월 스낵북 정산상세.xlsx
스토린랩,1,exclude_or_manual_summary,exclude_from_s2_default,"B2BC 집계형, 작품명 없음",schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 6,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,manual_review,7,7,정리(7),서점 명 | 판매건수 | 매출 | B2BC 정산율 | 정산총액,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx
스토린랩,2,include_after_amount_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,,schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 1,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,adapter_candidate,6,6,원스(6),판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 타입 | 판매건수 | 취소건수 | 정액제 정산대상액 | 판매건수 | 판매금액 | 취소건수 | 취소금액 | 합계 | 고객결제 | 고객결제(현금영수증) | IOS ,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx
스토린랩,3,include_after_amount_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,,schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 1,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,adapter_candidate,2,2,원스(북패스)(2),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 |,스토린랩\25년\11월\2025년 11월 스토린랩 정산상세.xlsx
스토린랩,4,include_after_amount_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,,schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 1,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,adapter_candidate,1,1,원스(북패스)(1),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 채널상품명 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 도서바코드 | BP관리ID | 이용상품ID | 코드 | 회차 | 상품정가 | 기준가 | 매출지분 | 전체 이용금,스토린랩\1월\2026년 1월 스토린랩 정산상세.xlsx
스토린랩,5,include_after_amount_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,,schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 1,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,adapter_candidate,1,1,원스(1),판매처 | 판매월 | 번호 | 상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 파트너명 | 파트너ID | 사업자구분 | 구매요청POC | 채널상품ID | 채널상품명 | 회차 | 상품ID | 코드 | 2차정산여부 | 카테고리 | 그림작가 | 판매건수 | 취소건수 | 정액제 정산대상액 | 판매건수 | 판매금액 | 취소건수 | 취소금액 | 합계 | 고객결제 | 고객결제(현금영수증) | IOS | AOS,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx
스토린랩,6,include_after_amount_policy,서브어댑터별 amount rule 확정 전 S2 출력 금지,,schema_signature_subadapters,"원스, 원스(북패스), 무툰 시트",정리 시트(B2BC 집계형) 제외 또는 별도 수동,row 1,채널상품명 / 상품명 / 이용상품명 / 타이틀,글작가 / 작가,채널상품ID / 상품ID / 키다리코드 / 이용상품ID,판매금액 / 정액권 총매출액 / 판매총액 / 합계금액,정산액 / 입금액 / 상품별 정산금액,취소금액 / 차감 / 취소코인,needs_subadapter_policy,blocked_until_gate,adapter_candidate,1,1,원스(북패스)(1),판매처 | 판매월 | 번호 | 이용상품명 | 키다리코드 | 글작가 | 출판사 | 정산처 | 공급유형 | 분류 | 매출사업자 | 판매사업자 | 정액권 상품ID | 정액권 상품명 | 실 결제 금액 | 정액권 총매출액 | 업체별 정산지급액 | 판매자ID | 판매자명 | 상호명 | 그림작가 | 채널상품ID | 채널상품명 | 도서바코드 | BP관리ID | 이용상품ID | 회차 | 상품정가 | 기준가 | 다운건수 | 매출지분 | 전체 이,스토린랩\25년\10월\2025년 10월 스토린랩 정산상세.xlsx
