platform,april_bucket,full_catalog_group_count,full_catalog_adapter_candidate_groups,full_catalog_manual_review_groups,schema_substitution_strategy,output_gate,confidence,title_source,id_source,sale_amount_source,settlement_base_source,offset_source,exclusion_rule,blockers
북큐브,D_no_april_source,1,0,1,fallback_month_manual_structure_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 1개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
북팔,D_no_april_source,3,2,1,fallback_month_mixed_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 1개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
블라이스,A_generic_adapter_candidate,1,1,0,single_header_semantic_adapter,title_mapping_allowed; s2_projection_after_amount_policy_and_total_reconcile,medium_high,작품명 / 작가명,작품NO,판매액,정산금액,수수료,없음,merged_cells; 수수료 설명이 긴 병합 헤더라 컬럼명 정규화 필요.
스낵북,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
스토린랩,D_no_april_source,10,9,1,fallback_month_mixed_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 1개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
신영미디어,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
알라딘,D_no_april_source,3,0,3,fallback_month_manual_structure_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 3개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
알라딘 종이책,D_no_april_source,1,0,1,fallback_month_manual_structure_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 1개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
에이블리,D_no_april_source,2,2,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
에피루스,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
예스24,D_no_april_source,1,0,1,fallback_month_manual_structure_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 1개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
올툰,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
원스토어,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
윌라,D_no_april_source,2,0,2,fallback_month_manual_structure_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_low,,,,,,4월 폴더 없음,4월 대표 원형 없음; 전수조사 manual_review 그룹 2개; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
조아라,B_amount_semantics_required,5,5,0,single_or_multi_header_adapter_with_amount_policy,title_mapping_allowed_after_parser; s2_projection_blocked_until_amount_rule_confirmed,medium,작품명 / 작가명,작품코드,단가 × 판매건수 후보. 단행본 파일은 단가 컬럼 없음,정산금액,없음,"로맨스/판무, 단행본/연재 파일 모두 별도 입력으로 합산",단행본 7컬럼에는 단가가 없어 판매금액 직접 산출이 안 된다. 정산금액만 안정적.
카카오,D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
큐툰,B_amount_semantics_required,1,1,0,single_or_multi_header_adapter_with_amount_policy,title_mapping_allowed_after_parser; s2_projection_blocked_until_amount_rule_confirmed,medium,타이틀 / 작가,없음,사용코인 / 취소코인 / 합계,정산총액,공제수수료 / 취소코인,없음,merged_cells; 무툰과 같은 형태. 코인/원화 의미와 상계 기준 확정 필요.
토스(구루컴퍼니),D_no_april_source,2,2,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
판무림,C_special_adapter_required,9,1,8,structural_special_adapter,no_generic_substitution; s2_projection_blocked_until_special_parser_fixture_passes,low_until_parser,세부내역!작품 제목 / 회차 제목 / 저자,시리즈 코드 / 각 권 코드,소장/대여/정액제/포인트 사용 구간의 판매금액 합산 후보,정산비율 또는 표지 요약과 결합 필요,포인트 사용 후보,"`표지` 시트 제외, `세부내역`만 파싱",전수조사 manual_review 그룹 8개; aux_sheet_name_signal | merged_cells; 판매금액 컬럼명이 여러 번 반복된다. 상단 문맥 행을 결합하지 않으면 금액 의미가 무너진다.
피우리(누온),D_no_april_source,1,1,0,fallback_month_single_or_variant_adapter_audit,no_april_evidence; choose representative_month_before_schema_substitution,catalog_only_medium,,,,,,4월 폴더 없음,4월 대표 원형 없음; 4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.
피플앤스토리,A_generic_adapter_candidate,2,1,1,single_header_semantic_adapter,title_mapping_allowed; s2_projection_after_amount_policy_and_total_reconcile,medium_high,작품명 / 작가명,ISBN / 관리코드,판매금액(원),정산금액(원),없음 또는 판매금액-정산금액,없음,전수조사 manual_review 그룹 1개; merged_cells; 4월 샘플이 5행뿐이라 변형 검증력이 낮다.
하이북,A_generic_adapter_candidate,1,1,0,single_header_semantic_adapter,title_mapping_allowed; s2_projection_after_amount_policy_and_total_reconcile,medium_high,작품명 / 작가명,prodSq,판매금액(구매) / 판매금액(대여) / 판매금액,정산금액(구매) / 정산금액(대여) / 정산금액,없음 또는 판매금액-정산금액,없음,구매/대여별 행을 유지할지 작품 단위로 합산할지 정해야 한다.
한아름,C_special_adapter_required,3,0,3,structural_special_adapter,no_generic_substitution; s2_projection_blocked_until_special_parser_fixture_passes,low_until_parser,반복 섹션별 작품명 컬럼(E 또는 G),BOOK NO,건당 로그 섹션의 금액. 시간 로그 섹션은 히트만 있음,상단 정산금액 요약과 섹션 합계 대조 필요,배분률 기반 계산 후보,"요약/계산서/합계 행 제외, 반복 헤더 구간별 파싱","전수조사 manual_review 그룹 3개; large_row_count; 한 시트 안에 요약, 시간 로그, 건당 로그, 계산서 안내, 합계가 섞여 있다. 첫 헤더만 잡는 방식은 무조건 오판."
