platform,audit_round,audit_name,verdict,attack_question,evidence,failure_mode,final_control
북팔,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=매출; settle=수익금 / 수익; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,보조 안내문 시트 제외 + 총액 reconcile 후 출력
북팔,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=보조 안내문 시트 제외 + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
블라이스,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header_with_merged_cells",긴 병합 수수료 헤더 정규화 필요.,adapter_contract=single_header_with_merged_cells; sheet_rule=CP정산*; exclude=-
블라이스,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매액; settle=정산금액; offset=수수료; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,수수료 컬럼명 정규화 + 총액 reconcile 후 출력
블라이스,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=수수료 컬럼명 정규화 + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
스낵북,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",4월 샘플 없음. 코인타입별 분리 여부 확인 필요.,adapter_contract=single_header; sheet_rule=settle_list_*; exclude=-
스낵북,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매(원); settle=정산(원); offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 총액 reconcile 후 출력
스낵북,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
스토린랩,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=10, actions=exclude_or_manual_summary:1; include_after_amount_policy:9, parser=schema_signature_subadapters",10개 스키마 그룹. 집계형 정리 시트와 상세 시트 혼재.,"adapter_contract=schema_signature_subadapters; sheet_rule=원스, 원스(북패스), 무툰 시트; exclude=정리 시트(B2BC 집계형) 제외 또는 별도 수동"
스토린랩,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액 / 정액권 총매출액 / 판매총액 / 합계금액; settle=정산액 / 입금액 / 상품별 정산금액; offset=취소금액 / 차감 / 취소코인; amount_status=needs_subadapter_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,서브어댑터별 amount rule 확정 전 S2 출력 금지
스토린랩,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=서브어댑터별 amount rule 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
신영미디어,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",4월 샘플 없음.,adapter_contract=single_header; sheet_rule=날짜범위 시트; exclude=-
신영미디어,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=합계; settle=소득액; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 총액 reconcile 후 출력
신영미디어,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
알라딘,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=3, actions=include_after_amount_policy:3, parser=single_header",취소 행이 같은 표에 섞일 가능성.,adapter_contract=single_header; sheet_rule=sales_*; exclude=-
알라딘,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매가; settle=정산액; offset=판매형태=취소/원주문일시 기반 취소 처리; amount_status=needs_cancel_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매/취소 행 처리 정책 확정 후 S2 출력
알라딘,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매/취소 행 처리 정책 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
알라딘 종이책,1,헤더/구조 치환 감리,blocked_structure_or_source_type,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=blocked_non_s2_source:1, parser=ledger_not_content_sales",거래원장형 종이책 자료라 판매채널콘텐츠ID 매칭 단위가 맞지 않음.,adapter_contract=ledger_not_content_sales; sheet_rule=없음; exclude=거래처별 거래원장
알라딘 종이책,2,금액 의미 감리,blocked,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=출고금액 / 반품금액; settle=현잔액 등 원장 금액; offset=반품금액; amount_status=blocked_non_content_ledger,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지
알라딘 종이책,3,실행 안전 감리,s2_output_forbidden,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=전자 S2 콘텐츠 판매상세 아님. 기본 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
에이블리,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=exclude_or_manual_summary:1; include_candidate:1, parser=single_header_plus_summary_exclusion",상세 시트와 pivot 요약형 변형 혼재.,adapter_contract=single_header_plus_summary_exclusion; sheet_rule=상세 판매일 시트; exclude=행 레이블 pivot/요약 시트는 출력 제외
에이블리,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매 금액 합계 (원); settle=정산 금액 합계 (원); offset=운영 수수료 합계 (원); amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,요약 시트 제외 + 총액 reconcile 후 출력
에이블리,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=요약 시트 제외 + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
에피루스,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate:1, parser=single_header",외부 ID 없음. 제목 매칭 의존.,adapter_contract=single_header; sheet_rule=월별 정산내역 시트; exclude=-
에피루스,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매금액; settle=정산액; offset=수수료; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 수수료 상계 정책 확인 후 출력
에피루스,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 수수료 상계 정책 확인 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
예스24,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header",판매가 후보가 2개이고 환불 컬럼 존재.,adapter_contract=single_header; sheet_rule=Sheet1; exclude=-
예스24,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=서점판매가 또는 출판사판매가; settle=출판사정산액; offset=서점환불가 / 환불일 기반 취소 처리; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매가 기준/환불 처리 정책 확정 후 출력
